"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SLC38A2",0,1.18195151196811,0.225,0.632,0,"0","SLC38A2"
"DBI",0,1.13400045242906,0.157,0.5,0,"0","DBI"
"TPI1",0,1.12069861433066,0.2,0.604,0,"0","TPI1"
"CCT5",0,1.11052209929065,0.1,0.35,0,"0","CCT5"
"HMGN2",0,1.07351041745575,0.185,0.615,0,"0","HMGN2"
"COX6C",0,1.06118990700777,0.165,0.592,0,"0","COX6C"
"TUBA1B",0,1.05454890554234,0.23,0.706,0,"0","TUBA1B"
"MRPL51",0,1.04475613922966,0.084,0.307,0,"0","MRPL51"
"POMP",0,1.02447830812762,0.149,0.545,0,"0","POMP"
"NDUFC2",0,1.0077879970515,0.089,0.331,0,"0","NDUFC2"
"P4HB",0,0.949780910451833,0.074,0.285,0,"0","P4HB"
"TUBA1C",0,0.944123860938052,0.087,0.329,0,"0","TUBA1C"
"NDUFS6",0,0.920894704877269,0.081,0.346,0,"0","NDUFS6"
"TXN",0,0.915203648193483,0.161,0.519,0,"0","TXN"
"ENO1",0,0.902789336577153,0.147,0.531,0,"0","ENO1"
"FTL",0,0.885117965508146,0.944,0.995,0,"0","FTL"
"SRP9",0,0.869170646669329,0.068,0.293,0,"0","SRP9"
"ATP5F1B",0,0.869112750833444,0.097,0.427,0,"0","ATP5F1B"
"SNRPE",0,0.859935745589257,0.068,0.289,0,"0","SNRPE"
"TFRC",0,0.858568126213409,0.087,0.341,0,"0","TFRC"
"CD63",0,0.855164887819336,0.187,0.52,0,"0","CD63"
"MGST3",0,0.854388363141727,0.076,0.323,0,"0","MGST3"
"ATP6V0B",0,0.847783974567734,0.095,0.398,0,"0","ATP6V0B"
"HSBP1",0,0.844917115649281,0.063,0.258,0,"0","HSBP1"
"CCT6A",0,0.836396170341959,0.081,0.365,0,"0","CCT6A"
"ATP5MC3",0,0.833746262330272,0.107,0.475,0,"0","ATP5MC3"
"NME2",0,0.828738823640323,0.184,0.669,0,"0","NME2"
"RANBP1",0,0.821127069938577,0.071,0.318,0,"0","RANBP1"
"TOMM6",0,0.811981867897133,0.108,0.51,0,"0","TOMM6"
"PDCD6",0,0.808565091588346,0.057,0.252,0,"0","PDCD6"
"PKM",0,0.806087091951129,0.094,0.384,0,"0","PKM"
"ATP5ME",0,0.80556536512764,0.105,0.48,0,"0","ATP5ME"
"ANXA5",0,0.80524165694927,0.099,0.38,0,"0","ANXA5"
"PGK1",0,0.79909755347055,0.122,0.524,0,"0","PGK1"
"YWHAG",0,0.786431877045322,0.056,0.252,0,"0","YWHAG"
"DEK",0,0.785606855984386,0.101,0.456,0,"0","DEK"
